sub_cluster_id,size,top_8_units,avg_place,winrate,top4_rate
1974,5,"Rell, Carry_g3star_Xayah, Xin_Zhao, Carry_s3star_Shen, Carry_Yone, Yasuo, Leona, Samira",3.60,0.0%,80.0%
1282,6,"Rell, Carry_g3star_Xayah, Xin_Zhao, Carry_g3star_Shen, Carry_s3star_Yasuo, Carry_Leona, Carry_Samira, Yone",4.00,0.0%,83.3%
811,29,"Carry_g3star_Xayah, Carry_s3star_Shen, Carry_s3star_Yasuo, Carry_Samira, Rell, Xin_Zhao, Leona, Volibear",4.31,6.9%,48.3%
1789,6,"Carry_s3star_Xayah, Carry_s3star_Shen, Carry_Yasuo, Carry_Samira, Carry_Volibear, Xin_Zhao, Rell, Leona",4.50,0.0%,50.0%
217,14,"Carry_g3star_Xayah, Carry_g3star_Xin_Zhao, Carry_s3star_Shen, Carry_s3star_Yasuo, Rell, Samira, Leona, Garen",4.57,0.0%,50.0%
1398,8,"Carry_s3star_Xayah, Carry_s3star_Shen, Carry_s3star_Yasuo, Carry_Yone, Rell, Xin_Zhao, Volibear, Samira",4.88,0.0%,37.5%
2110,9,"Carry_s3star_Xayah, Shen, Carry_s3star_Yasuo, Carry_Leona, Samira, Rell, Xin_Zhao, Volibear",4.89,0.0%,44.4%
1703,14,"Rell, Carry_s3star_Xayah, Xin_Zhao, Carry_s3star_Shen, Carry_s3star_Swain, Garen, Leona, Yasuo",5.14,0.0%,35.7%
522,42,"Carry_s3star_Xayah, Carry_s3star_Xin_Zhao, Carry_s3star_Shen, Rell, Swain, Garen, Leona, Samira",5.62,4.8%,21.4%
1550,37,"Carry_g3star_Xayah, Carry_s3star_Shen, Carry_Yasuo, Xin_Zhao, Rell, Samira, Leona, Swain",5.76,0.0%,18.9%
179,11,"Rell, Carry_s3star_Xayah, Carry_s3star_Xin_Zhao, Carry_s3star_Shen, Carry_Swain, Garen, Leona, Volibear",5.91,0.0%,18.2%
776,21,"Carry_s3star_Xayah, Carry_s3star_Shen, Yasuo, Carry_Samira, Xin_Zhao, Rell, Volibear, Leona",6.10,0.0%,9.5%
1753,8,"Rell, Carry_s3star_Xayah, Carry_s3star_Shen, Yasuo, Xin_Zhao, Leona, Samira, Volibear",7.38,0.0%,12.5%
