sub_cluster_id,size,carries,avg_place,winrate,top4_rate
158,23,"Braum, Gwen, Samira, Sett, Viego",2.39,34.8%,87.0%
296,12,"Braum, Gwen, Lux, Samira, Sett",2.58,16.7%,91.7%
68,136,"Braum, Gwen, Samira, Sett",2.89,20.6%,83.1%
121,15,"Gwen, Samira, Sett, XinZhao, Yone",3.00,26.7%,86.7%
136,19,"Gwen, Samira, Sett, Viego, XinZhao",3.00,21.1%,79.0%
99,39,"Gwen, Samira, Sett, Viego, Volibear",3.05,28.2%,74.4%
235,14,"Gwen, Lux, Samira, Sett, Yone",3.07,14.3%,92.9%
13,163,"Gwen, Samira, Sett, Yone",3.12,21.5%,78.5%
432,6,"Gwen, Lux, Samira, Sett, Viego",3.33,0.0%,100.0%
540,17,"Gwen, Samira, Sett, leesin",3.76,11.8%,70.6%
194,18,"Gwen, Samira, Sett, Volibear, XinZhao",3.89,22.2%,61.1%
202,34,"Gwen, Lux, Samira, Sett",4.00,8.8%,64.7%
478,14,"Gwen, Kalista, Samira, Sett",4.07,14.3%,50.0%
35,6,"Gwen, Samira, Sett, Zyra",4.33,33.3%,50.0%
423,5,"Samira, Sett, Viego, Volibear, XinZhao",4.40,0.0%,80.0%
277,7,"Gwen, Samira, Sett, Viego, Volibear, XinZhao",4.57,14.3%,57.1%
34,106,"Gwen, Samira, Sett, Viego",4.66,7.5%,39.6%
237,6,"Kalista, Samira, Sett, Volibear",4.67,16.7%,33.3%
335,6,"Samira, Sett, Volibear, XinZhao",4.67,16.7%,33.3%
8,402,"Gwen, Samira, Sett",4.77,7.5%,45.0%
322,17,"Braum, Samira, Sett, Volibear",4.82,0.0%,35.3%
129,6,"Gwen, Naafiri, Samira, Sett, Viego",4.83,0.0%,66.7%
283,44,"Gwen, Samira, Sett, XinZhao",4.95,4.5%,50.0%
306,12,"Gwen, Naafiri, Samira, Sett",5.08,8.3%,25.0%
169,20,"Lux, Samira, Sett, Volibear",5.15,5.0%,30.0%
419,5,"Samira, Sett, TwistedFate",5.20,20.0%,40.0%
654,5,"Braum, Lux, Samira, Sett",5.20,0.0%,20.0%
141,14,"Braum, Samira, Sett",5.57,0.0%,35.7%
584,7,"Samira, Viego",5.57,0.0%,28.6%
448,19,"Lux, Samira, Sett, Viego",5.63,5.3%,26.3%
25,11,"Gwen, Kalista, Sett",5.73,0.0%,27.3%
342,15,"Gwen, Samira, XinZhao",5.80,0.0%,20.0%
206,5,"Samira, Sett, leesin",6.00,0.0%,0.0%
92,39,"Lux, Samira, Sett",6.18,0.0%,15.4%
95,45,"Samira, Sett, Viego",6.42,0.0%,6.7%
255,9,"Kalista, Samira, Sett",6.44,0.0%,0.0%
370,7,"Samira, Sett, XinZhao",6.57,0.0%,14.3%
166,5,"Samira, Sett, Viego, XinZhao",6.80,0.0%,0.0%
37,46,"Samira, Sett",6.98,0.0%,6.5%
