rank,cluster_id,size,top_8_units,avg_place,winrate,top4_rate,frequency
1,206,26,"Vi, Janna, Carry_s3star_Swain, Carry_Udyr, Carry_Ashe, Carry_Braum, Carry_Zyra, Syndra",1.50,73.1%,100.0%,0.0%
2,95,19,"Aatrox, Senna, Carry_Ryze, Carry_JarvanIV, Carry_Lee_Sin, Carry_Yone, Carry_Galio, Kobuko",1.84,47.4%,100.0%,0.0%
3,35,690,"Carry_Karma, Carry_Braum, Swain, Carry_JarvanIV, Galio, Lucian, Carry_Gwen, Lux",2.40,39.6%,87.7%,0.8%
4,99,36,"Carry_Ryze, Carry_Karma, Carry_JarvanIV, Carry_Yone, Carry_s3star_Galio, Aatrox, Senna, Lee_Sin",2.58,25.0%,88.9%,0.0%
5,64,161,"Carry_Lee_Sin, Carry_Zyra, Sett, Udyr, Braum, Dr._Mundo, Naafiri, Vi",2.65,39.1%,80.8%,0.2%
6,148,430,"Carry_K'Sante, Carry_Zyra, Carry_JarvanIV, Janna, Kennen, Carry_Akali, Ryze, Neeko",3.27,21.4%,73.0%,0.5%
7,77,366,"Carry_Braum, Carry_Gwen, Ryze, JarvanIV, Galio, Karma, Yone, Volibear",3.28,24.3%,72.4%,0.4%
8,130,353,"Carry_Jinx, Carry_Braum, Rell, Carry_Poppy, Neeko, Ahri, Syndra, Seraphine",3.33,21.8%,75.1%,0.4%
9,180,77,"Carry_Zyra, Carry_Braum, Carry_Twisted_Fate, Swain, Lee_Sin, Yone, Volibear, Gwen",3.44,35.1%,64.9%,0.1%
10,17,1639,"Carry_Seraphine, Carry_Leona, Carry_Yuumi, Ezreal, Garen, Rakan, Malzahar, Syndra",3.49,14.6%,73.0%,2.0%
11,94,975,"g3star_Sivir, Carry_g3star_Malphite, s3star_Ziggs, g3star_Shen, Janna, Carry_Twisted_Fate, JarvanIV, Ryze",3.52,25.7%,68.2%,1.2%
12,168,93,"Carry_Gwen, Carry_Lee_Sin, Carry_Yone, Braum, Volibear, Xin_Zhao, Galio, JarvanIV",3.56,21.5%,66.7%,0.1%
13,3,1182,"Carry_g3star_Kayle, Udyr, Carry_Sett, s3star_Zac, Aatrox, Dr._Mundo, Naafiri, Lee_Sin",3.57,25.1%,65.1%,1.4%
14,74,331,"Carry_Varus, Carry_s3star_Zac, Carry_s3star_Kayle, K'Sante, Jhin, Udyr, Aatrox, Malzahar",3.62,23.9%,63.1%,0.4%
15,93,670,"Carry_Yuumi, Ezreal, Carry_Rakan, Carry_Leona, Garen, Malzahar, Syndra, K'Sante",3.67,16.0%,67.6%,0.8%
16,102,257,"Carry_Gwen, Carry_Sett, Carry_Viego, Carry_Samira, Naafiri, Xin_Zhao, Lux, Volibear",3.67,20.6%,65.4%,0.3%
17,22,310,"Carry_Zyra, Carry_Braum, Carry_Gwen, Carry_Yone, Volibear, JarvanIV, Ryze, Galio",3.68,27.1%,62.6%,0.4%
18,39,1007,"Carry_Yone, Carry_Samira, Carry_Sett, Xin_Zhao, Naafiri, Lux, Viego, Carry_Gwen",3.68,14.6%,68.2%,1.2%
19,69,75,"Carry_JarvanIV, Carry_Twisted_Fate, Carry_Ryze, Galio, Carry_Yone, Udyr, Kobuko, Yasuo",3.72,20.0%,65.3%,0.1%
20,68,421,"Carry_Ryze, Carry_Gwen, Carry_JarvanIV, Galio, Carry_Karma, Lucian, Swain, Lux",3.74,17.3%,64.6%,0.5%
