match_id,puuid,riot_id,sub_cluster_id,main_cluster_id,carries,last_round
SG2_87100536,jujsLDJ3Qk_HIPwCiuDr98uk5_QW5P0I5b259L5Sk8BDWI6IrI1TipnItJOFaWJ-8ZNiqQBTPPK71g,Esther#BIENS,0,1,"Gwen,Samira,Sett,Viego",34
SG2_87100536,0BFhASFsbek69AKzFIf_PyajcPTizK04Z-TgMWZCTcSxbjZ3VAPzSVTriLr5sm6amlT-ThvHguMfKA,KrajeV#zev,1,50,"K'Sante,Leona,Seraphine,Yuumi,Zyra",33
SG2_87100536,2QTdA7HGO5sbu5e93ntK4xl90TZSDuI02p3ZLDgL8sWBHb5WQbiDmA3ZCm8qfG1WpjNqqqRnw2Z5VA,Jasper#7282,-1,-1,"Braum,Jinx,Neeko,Poppy,Rell,Seraphine",35
SG2_87100536,Sn4X18K3M4vIElVfAXyuWPLhQ4oNl3wUrNTTezE_OsWKtHjxdMvF-Dv4ywR4k3fd-L4vbnqsjUsFkA,Dna#Yuki,2,45,"JarvanIV,Lee_Sin,Ryze,Yone",37
SG2_87100536,1Hq1vcCvq4ot3dW9e9jaw9TbRRV2uvuqM53zOwi1GxXFt8oGmYrtKMtYI8TXPh17SRnBRKRoSbAsBg,KMROOT#ROOT,-1,-1,"Ryze,Sett,Udyr,Viego",30
SG2_87100536,DVok4tWSknuGfsokO7cCNlwG0FQiO5yZYFuFTjm7mU9TwZvvZ3BWOjLYZhsM87PnyA0VhS1uVASy2g,SPNCRYKS#APAC,-1,-1,"JarvanIV,Karma,Ryze,Swain,Zyra",28
SG2_87100536,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,3,24,"Akali,JarvanIV,K'Sante",37
SG2_87100536,QrP7-GIGdwJJtB0dVwBO-NymnvumhOWSN4HmucO3ZwK4MbGXDqaLJUOhPysAe-ICvN7UP0zM72aQjA,Zaxionz#0690,4,87,"Aatrox,Braum,Kayle,Zac",26
SG2_87112021,fExB3T0Cv8_2x9hDochw94dDUpvjARaZW8Cuhaw-mbDTG7XhhQv22y17rC-r-E7IiHoO2Nua0EpATg,corazonx#1929,5,118,"Galio,JarvanIV,Karma,Volibear",27
SG2_87112021,-KzJ0tSOW00UkKXJRrhHNL8_eoWONcDaupsbsd46tQroOZbCADvInYJ1cb09AfyQ9qz-itiueG2-cg,Naphachacus#cus,6,1,"Gwen,Naafiri,Samira",34
SG2_87112021,2QTdA7HGO5sbu5e93ntK4xl90TZSDuI02p3ZLDgL8sWBHb5WQbiDmA3ZCm8qfG1WpjNqqqRnw2Z5VA,Jasper#7282,7,43,"Jinx,Poppy,Seraphine",27
SG2_87112021,c6B2IUrsAtq7ssFUoCav0jKF5pC_3W_8vOy9n9ztEjWXXjmkpwhNrMGWYoJOgVhXCd8QYEWlX4Yoog,kaae#SG2,8,156,"Akali,Darius,Ryze,Udyr",35
SG2_87112021,AymOM1wpGJ9R0UF5yNBkA7vqkmRN4vLY4auUrCUaJunym--_FN1BhzaHKA7mbLI-4BcqNIFE0P_N5w,เปโกชา#7219,-1,-1,"JarvanIV,Volibear,Yone",28
SG2_87112021,VO2WLHQJ9v5OxYxooiuWIqyXmn7MRm9i5O0RRFgnCNF47iOsulf4fqIOYzgXD3RiBi1e6YxJMvWpdw,kuchisabishii#2305,9,93,"K'Sante,Leona,Malzahar,Rakan,Seraphine,Yuumi",35
SG2_87112021,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,10,24,"Akali,K'Sante",21
SG2_87112021,577bOh1be5SN0vHKESAsDRyZdvTNOjArzQ2qszLVW6MK6HqrKuRLkYAlSs6FP-WTsRjw15a84NtBiQ,Follow#1782,11,73,"Akali,Darius,Jayce,Poppy",29
SG2_87094698,Z7ZVVcWm49Dj5pkXs7H8dmPIx41jHaZfcuE5Qpf_QtZaVHSYJdJ37Tp72cMXDXlrRN-O0DFxvxY5XQ,gwenshusbando#xdd,12,5,"Malphite,Shen,Sivir,Ziggs",33
SG2_87094698,kQ3cRbkP_5ckSeNoN_sMUklZWhwJyWq469Y2c4jjtZSZ3BC7Cp6b4QT6hv9KeRXMp9qkyOKkVKGBiQ,Arigus373#0870,13,73,"Akali,Darius",23
SG2_87094698,8ZGjDQVxgZ1oLuvb3hvwyAiTiclzW81QEwNkPLBFOWbHmj9IsEcjc3WETredQVVaIPuBuQ02F7LwMA,Introvert#0021,14,3,"Braum,Kayle,Lee_Sin,Sett",38
SG2_87094698,rsrxrTECj0Mz6sTI0bYsqeH6_pFrkWH1S5VKLxJsORKtNxoiF3NVDawRKLKSm1J6evJWLv-TMaM2RQ,tzuuyu#7583,-1,-1,"Akali,Neeko,Poppy,Zyra",30
SG2_87094698,ir-s0VKFCT1GZfqVry88_OWPFgQaowhVPc3YtlCnTFd3W31dpVu0kMpSpaqpfNbkV1oyqSdiNEiwxA,Clydester#WAN,15,118,"Gwen,JarvanIV,Karma,Zyra",38
SG2_87094698,7rM_kP68ji2vBmSwMfmmwbgj43ilHAaEtsqKp5rbWVa_ii9XZ-e9TOQZ5D_ag3PUjZpzykM2XD0Tqw,EggyBuster99#Woach,16,38,"Ahri,Karma,Swain",31
SG2_87094698,TQCzCXJ87nMLEY3_0G4e5Kh2pFZTD-RGoO-utkYrpWM6ossYdPCsH8v0GU5zIkh-vv16KyuwiTdJlA,Bayonetta#CRZ,17,17,"Leona,Malzahar,Seraphine,Yuumi",35
SG2_87094698,NxSzJR7f9naBf3FdbFWbIyn2tFd30JvCZx8NoHuxH9hC4Dfl_JUa1bIcW40TEPQLx2I9TptFFKKTSQ,teennn#TH22,18,45,"Lee_Sin,Ryze,Yone",28
SG2_87115790,Ji9kL40zON_2345tFRcbmJizodWgdnTToKtjJxqQLkmkbG0bsCWJz4aVGXefn5K5chmy2yRK49om1g,DekZo#IUNO1,19,4,"K'Sante,Leona,Malzahar,Seraphine",26
SG2_87115790,JjLr7tz8zOVKbF4Rd_Flyjh9MYPgPiGJM-b2Mrba9LWl-elVTZm8ZyPI3q3HseLUjOla5_UHY73KHg,BeeHurn#TH4,20,12,"Katarina,Rakan,Yuumi",26
SG2_87115790,usWM4cutKNOFbllNg1bAhbiu-GmbMsX-MzWm7OI7PVklWJfAz3yl8aFj2qyFXVLN5qor5gTX1l_LCw,tymom#9999,17,17,"Leona,Malzahar,Seraphine,Yuumi",34
SG2_87115790,2Mzk-JXyFNK3U93rCp8tXItRQt2SpxfOcPZRZnXdWpSERqM9otYVwpEZJO4ZhEIwX0yDAPKYC5TqOQ,Elzas#7777,21,118,"Gwen,JarvanIV,Karma,Ryze,Swain",37
