old_name,new_name
TFT15_Item_BastionEmblemItem,Bastion_Emblem
TFT15_Item_BattleAcademiaEmblemItem,Battle_Academia_Emblem
TFT15_Item_ChallengerEmblemItem,Challenger_Emblem
TFT15_Item_CrystalRoseEmblemItem,Crystal_Rose_Emblem
TFT15_Item_DestroyerEmblemItem,Executioner_Emblem
TFT15_Item_EdgelordEmblemItem,Edgelord_Emblem
TFT15_Item_EmpyreanEmblemItem,Wraith_EmblemItem
TFT15_Item_HeavyweightEmblemItem,Heavyweight_Emblem
TFT15_Item_JuggernautEmblemItem,Juggernaut_Emblem
TFT15_Item_ProdigyEmblemItem,Prodigy_Emblem
TFT15_Item_ProtectorEmblemItem,Protector_Emblem
TFT15_Item_RingKingsEmblemItem,RingKingsEmblem
TFT15_Item_ShotcallerEmblemItem,ShotcallerEmblem
TFT15_Item_SniperEmblemItem,Sniper_Emblem
TFT15_Item_SoulFighterEmblemItem,Soul_Fighter_Emblem
TFT15_Item_SpellslingerEmblemItem,Sorcerer_Emblem
TFT15_Item_StarGuardianEmblemItem,Star_Guardian_Emblem
TFT15_Item_SupremeCellsEmblemItem,Supreme_Cells_Emblem
TFT15_RoboRanger_Core,Mech_Core
TFT15_RoboRanger_Slicer,Mech_Slicer
TFT15_RoboRanger_Sword,Mech_Sword
TFT4_Item_OrnnDeathsDefiance,Death's_Defiance
TFT4_Item_OrnnInfinityForce,Infinity_Force
TFT4_Item_OrnnMuramana,Muramana
TFT4_Item_OrnnRanduinsSanctum,Randuin's_Sanctum
TFT4_Item_OrnnTheCollector,Gold_Collector
TFT4_Item_OrnnZhonyasParadox,Zhonya's_Paradox
TFT5_Item_AdaptiveHelmRadiant,Adaptive_HelmRadiant
TFT5_Item_ArchangelsStaffRadiant,Archangels_StaffRadiant
TFT5_Item_BloodthirsterRadiant,BloodthirsterRadiant
TFT5_Item_BlueBuffRadiant,Blue_BuffRadiant
TFT5_Item_BrambleVestRadiant,Bramble_VestRadiant
TFT5_Item_CrownguardRadiant,CrownguardRadiant
TFT5_Item_DeathbladeRadiant,DeathbladeRadiant
TFT5_Item_DragonsClawRadiant,Dragons_ClawRadiant
TFT5_Item_FrozenHeartRadiant,Protector's_VowRadiant
TFT5_Item_GargoyleStoneplateRadiant,Gargoyle_StoneplateRadiant
TFT5_Item_GiantSlayerRadiant,Giant_SlayerRadiant
TFT5_Item_GuardianAngelRadiant,Edge_Of_NightRadiant
TFT5_Item_GuinsoosRagebladeRadiant,Guinsoos_RagebladeRadiant
TFT5_Item_HandOfJusticeRadiant,Hand_Of_JusticeRadiant
TFT5_Item_HextechGunbladeRadiant,Hextech_GunbladeRadiant
TFT5_Item_InfinityEdgeRadiant,Infinity_EdgeRadiant
TFT5_Item_IonicSparkRadiant,Ionic_Spark_Radiant
TFT5_Item_JeweledGauntletRadiant,Jeweled_GauntletRadiant
TFT5_Item_LastWhisperRadiant,Last_WhisperRadiant
TFT5_Item_LeviathanRadiant,Steadfast_HeartRadiant
TFT5_Item_MorellonomiconRadiant,MorellonomiconRadiant
TFT5_Item_NightHarvesterRadiant,Night_HarvesterRadiant
TFT5_Item_QuicksilverRadiant,QuicksilverRadiant
TFT5_Item_RabadonsDeathcapRadiant,Rabadons_DeathcapRadiant
TFT5_Item_RapidFirecannonRadiant,Rapid_FirecannonRadiant
TFT5_Item_RedemptionRadiant,RedemptionRadiant
TFT5_Item_RunaansHurricaneRadiant,Runaans_HurricaneRadiant
TFT5_Item_SpearOfShojinRadiant,Spear_Of_ShojinRadiant
TFT5_Item_SpectralGauntletRadiant,Spectral_GauntletRadiant
TFT5_Item_StatikkShivRadiant,Void_StaffRadiant
TFT5_Item_SteraksGageRadiant,Steraks_GageRadiant
TFT5_Item_SunfireCapeRadiant,Sunfire_CapeRadiant
TFT5_Item_ThiefsGlovesRadiant,ThiefsGlovesRadiant
TFT5_Item_TitansResolveRadiant,TitansResolveRadiant
TFT5_Item_TrapClawRadiant,Striker's_FlailRadiant
TFT5_Item_WarmogsArmorRadiant,Warmogs_ArmorRadiant
TFT5_Item_ZzRotPortalRadiant,Nashor's_ToothRadiant
TFT7_Item_ShimmerscaleGamblersBlade,GamblersBlade
TFT7_Item_ShimmerscaleHeartOfGold,Heart_Of_Gold
TFT7_Item_ShimmerscaleMogulsMail,Moguls_Mail
TFT9_Item_CrownOfDemacia,Crown_Of_Demacia
TFT9_Item_OrnnDeathfireGrasp,Deathfire_Grasp
TFT9_Item_OrnnHorizonFocus,Horizon_Focus
TFT9_Item_OrnnHullbreaker,Hullbreaker
TFT9_Item_OrnnTrickstersGlass,Tricksters_Glass
TFT_Item_AdaptiveHelm,Adaptive_Helm
TFT_Item_ArchangelsStaff,Archangels_Staff
TFT_Item_Artifact_BlightingJewel,Blighting_Jewel
TFT_Item_Artifact_Dawncore,Dawncore
TFT_Item_Artifact_Fishbones,Fishbones
TFT_Item_Artifact_HorizonFocus,Horizon_Focus
TFT_Item_Artifact_InnervatingLocket,Innervating_Locket
TFT_Item_Artifact_LichBane,Lich_Bane
TFT_Item_Artifact_LightshieldCrest,Lightshield_Crest
TFT_Item_Artifact_LudensTempest,Luden's_Tempest
TFT_Item_Artifact_Mittens,Mittens
TFT_Item_Artifact_NavoriFlickerblades,Navori_Flickerblades
TFT_Item_Artifact_ProwlersClaw,Prowlers_Claw
TFT_Item_Artifact_RapidFirecannon,Rapid_Firecannon
TFT_Item_Artifact_SeekersArmguard,Seekers_Armguard
TFT_Item_Artifact_SilvermereDawn,Silvermere_Dawn
TFT_Item_Artifact_SpectralCutlass,Spectral_Cutlass
TFT_Item_Artifact_StatikkShiv,Statikk_Shiv
TFT_Item_Artifact_SuspiciousTrenchCoat,Suspicious_Trench_Coat
TFT_Item_Artifact_TalismanOfAscension,Talisman_Of_Ascension
TFT_Item_Artifact_TheIndomitable,The_Indomitable
TFT_Item_Artifact_TitanicHydra,Titanic_Hydra
TFT_Item_Artifact_UnendingDespair,Unending_Despair
TFT_Item_Artifact_WitsEnd,Wits_End
TFT_Item_BFSword,BF_Sword
TFT_Item_Bloodthirster,Bloodthirster
TFT_Item_BlueBuff,Blue_Buff
