old_name,new_name
TFT15_Aatrox,Aatrox
TFT15_Ahri,Ahri
TFT15_Akali,Akali
TFT15_Ashe,Ashe
TFT15_Braum,Braum
TFT15_Caitlyn,Caitlyn
TFT15_Darius,Darius
TFT15_DrMundo,Dr._Mundo
TFT15_Ekko,Ekko
TFT15_Ezreal,Ezreal
TFT15_Galio,Galio
TFT15_Gangplank,Gangplank
TFT15_Garen,Garen
TFT15_Gnar,Gnar
TFT15_Gwen,Gwen
TFT15_Janna,Janna
TFT15_JarvanIV,JarvanIV
TFT15_Jayce,Jayce
TFT15_Jhin,Jhin
TFT15_Jinx,Jinx
TFT15_KSante,K'Sante
TFT15_KaiSa,Kai'Sa
TFT15_Kalista,Kalista
TFT15_Karma,Karma
TFT15_Katarina,Katarina
TFT15_Kayle,Kayle
TFT15_Kennen,Kennen
TFT15_Kobuko,Kobuko
TFT15_KogMaw,Kog'Maw
TFT15_Leona,Leona
TFT15_Lucian,Lucian
TFT15_Lux,Lux
TFT15_Malphite,Malphite
TFT15_Malzahar,Malzahar
TFT15_Naafiri,Naafiri
TFT15_Neeko,Neeko
TFT15_Poppy,Poppy
TFT15_Rakan,Rakan
TFT15_Rammus,Rammus
TFT15_Rell,Rell
TFT15_Ryze,Ryze
TFT15_Samira,Samira
TFT15_Senna,Senna
TFT15_Seraphine,Seraphine
TFT15_Sett,Sett
TFT15_Shen,Shen
TFT15_Sivir,Sivir
TFT15_Smolder,Smolder
TFT15_Swain,Swain
TFT15_Syndra,Syndra
TFT15_TwistedFate,Twisted_Fate
TFT15_Udyr,Udyr
TFT15_Varus,Varus
TFT15_Vi,Vi
TFT15_Viego,Viego
TFT15_Volibear,Volibear
TFT15_Xayah,Xayah
TFT15_XinZhao,Xin_Zhao
TFT15_Yasuo,Yasuo
TFT15_Yone,Yone
TFT15_Yuumi,Yuumi
TFT15_Zac,Zac
TFT15_Ziggs,Ziggs
TFT15_Zyra,Zyra
tft15_kogmaw,Kog'Maw
tft15_leesin,Lee_Sin
tft15_rammus,Rammus
tft15_smolder,Smolder
